"","R","SPT","SEX","AGE","MARITAL","RACE1","RACE2","RACE3","EDU1","EDU2","EDU3","EDU4","INCOME","EXPEND","NWORTH"
"73",1,0,2,-1.08358499756454,1,1,0,0,0,0,0,1,2.35042242240821,-0.534207989687878,-9.21034037197618
"74",1,1,1,1.11641500243546,1,1,0,0,0,0,0,1,2.20831836860072,-0.966115815137658,-9.21034037197618
"75",1,1,1,0.116415002435461,1,1,0,0,0,1,0,0,1.79658115950727,-0.114917146243339,-9.21034037197618
"76",1,1,1,-0.483584997564539,1,1,0,0,1,0,0,0,1.88706964903238,-0.151520807641242,-9.21034037197618
"77",1,1,1,-1.48358499756454,5,1,0,0,0,0,1,0,1.52605630349505,-1.45527567553077,-9.21034037197618
"78",1,1,1,-0.183584997564539,1,1,0,0,0,1,0,0,1.04521151194099,-1.8301365175666,-9.21034037197618
"80",1,0,2,1.01641500243546,1,0,1,0,0,0,1,0,0.887150242127738,-1.2381675024131,-9.21034037197618
"81",1,0,2,-0.0835849975645395,3,1,0,0,0,0,1,0,3.161962557448,0.761259964216523,-9.21034037197618
"82",1,0,1,-1.98358499756454,1,1,0,0,0,1,0,0,0.993251773010283,-1.79536594474991,-9.21034037197618
"83",1,1,1,-1.18358499756454,5,1,0,0,0,0,1,0,0.918288734536828,-0.255107330821608,-9.21034037197618
"84",1,0,1,-1.98358499756454,5,0,1,0,0,1,0,0,1.58923520511658,-0.545287677321093,-9.21034037197618
"85",1,1,1,-1.38358499756454,5,1,0,0,0,0,0,1,1.60482729987642,-0.343723463335406,-9.21034037197618
"86",1,1,1,-1.48358499756454,5,1,0,0,0,0,1,0,1.38629436111989,-0.409586087692468,-9.21034037197618
"87",1,0,1,0.316415002435461,1,1,0,0,0,1,0,0,1.68639895357023,-0.634626738035663,-9.21034037197618
"90",1,1,1,-1.88358499756454,5,1,0,0,0,1,0,0,1.79315849014176,0.128800080096534,-9.21034037197618
"91",1,0,1,0.016415002435461,1,1,0,0,0,0,0,1,2.1701959049483,0.507178982845793,-9.21034037197618
"93",1,1,2,-0.983584997564539,5,1,0,0,0,0,1,0,0.854415328156068,-0.317522914462802,-9.21034037197618
"94",1,1,1,0.516415002435461,1,1,0,0,0,1,0,0,2.68988623047454,1.134558849553,-9.21034037197618
"95",1,1,1,-1.58358499756454,5,1,0,0,0,0,1,0,1.30019166206648,-2.07015146835266,-9.21034037197618
"98",1,0,2,1.01641500243546,2,0,1,0,0,1,0,0,0,-2.35265103562285,-9.21034037197618
"99",1,0,1,-0.383584997564539,1,1,0,0,1,0,0,0,1.28093384546206,-0.51049234597587,-9.21034037197618
"100",1,0,2,-0.0835849975645395,2,1,0,0,0,1,0,0,0.681074599325676,-1.0591512197872,-9.21034037197618
"101",1,1,1,-2.08358499756454,2,1,0,0,0,1,0,0,-0.916290731874155,-1.05850254774023,-9.21034037197618
"102",1,0,1,-0.58358499756454,1,1,0,0,0,0,1,0,1.67008135760279,-1.34691339157758,-9.21034037197618
"103",1,0,2,-1.08358499756454,1,1,0,0,0,0,0,1,0.794800834286445,0.225760125097364,-9.21034037197618
"105",1,0,1,-1.38358499756454,1,1,0,0,0,0,1,0,0.683096844706444,-0.543047552315908,-9.21034037197618
"106",1,1,2,0.816415002435461,1,1,0,0,0,0,1,0,1.75825439067066,0.100410785931913,-9.21034037197618
"107",1,1,1,1.11641500243546,1,1,0,0,1,0,0,0,-2.94503915923847,-1.363750396685,-9.21034037197618
"109",1,0,1,-0.383584997564539,1,1,0,0,0,0,1,0,2.12823170584927,0.325254791389017,-9.21034037197618
"110",1,1,1,1.31641500243546,1,1,0,0,0,0,1,0,2.16905370036952,0.228595327340287,-9.21034037197618
"111",1,0,1,-0.183584997564539,1,0,0,1,0,1,0,0,0.599275964949875,-1.477459794266,-9.21034037197618
"113",1,1,2,-2.18358499756454,5,0,1,0,0,1,0,0,-0.958415658174826,-0.729811164931537,-9.21034037197618
"115",1,0,2,-0.683584997564539,1,1,0,0,0,0,1,0,2.02287119019144,-1.32347608124926,-9.21034037197618
"116",1,1,2,0.71641500243546,3,1,0,0,0,1,0,0,1.1955877477915,-1.43223359306134,-9.21034037197618
"117",1,1,1,-2.28358499756454,5,1,0,0,0,0,0,1,1.94591014905531,-0.770940022746668,-9.21034037197618
"119",1,1,2,1.31641500243546,2,1,0,0,0,1,0,0,0.0344014267173323,-1.25784250251259,-9.21034037197618
"120",1,0,1,-0.683584997564539,1,1,0,0,0,1,0,0,1.77688268999762,-1.3116407949725,-9.21034037197618
"121",1,1,1,0.41641500243546,1,1,0,0,0,1,0,0,1.56924072268269,0.388871526313271,-9.21034037197618
"122",1,0,1,-2.08358499756454,1,1,0,0,0,0,0,1,1.96150224381515,0.245883038283699,-9.21034037197618
"123",1,1,2,0.41641500243546,1,1,0,0,1,0,0,0,-0.0512932943875506,-1.43625519625726,-9.21034037197618
"125",1,0,2,-0.983584997564539,5,1,0,0,0,0,0,1,1.16782735768958,-1.74106637392394,-9.21034037197618
"126",1,1,2,0.116415002435461,1,0,1,0,1,0,0,0,0.0567583338186089,-0.795807633558786,-9.21034037197618
"127",1,1,1,0.316415002435461,1,1,0,0,0,1,0,0,2.13372847565361,-0.547835449399891,-9.21034037197618
