"","R","SPT","SEX","AGE","MARITAL","RACE1","RACE2","RACE3","EDU1","EDU2","EDU3","EDU4","INCOME","EXPEND","NWORTH"
"1",1,0,2,-1.48653424323666,5,1,0,0,0,0,1,0,0.93640703545898,-2.06107783148144,-9.21034037197618
"4",1,1,2,1.61346575676334,1,1,0,0,1,0,0,0,1.7808333290945,-0.467271365280759,-9.21034037197618
"5",1,0,2,-0.186534243236656,3,1,0,0,0,0,1,0,1.09861228866811,-1.59172079162894,-9.21034037197618
"7",1,0,2,1.51346575676334,5,1,0,0,0,1,0,0,0.793716235481641,-1.89157982660971,-9.21034037197618
"8",1,1,2,0.813465756763344,3,1,0,0,0,1,0,0,0.889946756534553,-2.10564860647425,-9.21034037197618
"10",1,0,1,-0.686534243236656,2,1,0,0,0,0,1,0,-0.0114654781092781,-1.14216717037504,-9.21034037197618
"11",1,1,2,-0.586534243236656,3,1,0,0,0,0,1,0,1.02961941718116,-0.40055219624752,-9.21034037197618
"13",1,0,1,-0.486534243236656,1,1,0,0,0,0,1,0,1.64865862558738,-0.919337042169319,-9.21034037197618
"15",1,1,2,-1.68653424323666,4,0,1,0,0,1,0,0,0.048790164169432,-1.44689398324882,-9.21034037197618
"16",1,0,1,-2.08653424323666,1,1,0,0,0,1,0,0,1.09861228866811,-1.63347449026234,-9.21034037197618
"17",1,0,1,-1.48653424323666,5,1,0,0,0,1,0,0,1.33802281244619,-0.720364226853498,-9.21034037197618
"18",1,1,2,1.01346575676334,4,1,0,0,0,0,0,1,-2.09394622788272,-1.16395112997645,-9.21034037197618
"21",1,1,2,-1.08653424323666,5,1,0,0,0,0,1,0,0.145138765666239,-0.994454996593539,-9.21034037197618
"22",1,0,2,0.413465756763344,3,1,0,0,0,0,0,1,1.64865862558738,-1.3084695079916,-9.21034037197618
"23",1,1,1,-1.98653424323666,5,1,0,0,0,0,0,1,0.916290731874155,-0.885155502943444,-9.21034037197618
"24",1,1,2,0.413465756763344,1,1,0,0,0,0,1,0,1.97408102602201,0.276437842371927,-9.21034037197618
"26",1,1,2,-1.48653424323666,1,0,1,0,0,0,1,0,1.43413169053405,-1.39063709716266,-9.21034037197618
"27",1,1,1,-0.586534243236656,1,1,0,0,0,0,1,0,1.16315080980568,-1.63903836504301,-9.21034037197618
"29",1,0,2,-0.486534243236656,1,1,0,0,0,0,0,1,-1.56064774826467,-0.655401920737408,-9.21034037197618
"30",1,0,2,0.513465756763344,3,1,0,0,0,1,0,0,-0.0520304080943842,-0.685446903933757,-9.21034037197618
"32",1,1,2,-1.88653424323666,1,1,0,0,0,1,0,0,1.43513214320319,-1.11797350320124,-9.21034037197618
"33",1,0,1,-0.186534243236656,1,1,0,0,0,0,0,1,2.10413415427021,-0.284708723903631,-9.21034037197618
"34",1,1,2,0.713465756763344,1,1,0,0,0,0,0,1,-6.90775527898214,0.523003906533656,-9.21034037197618
"35",1,0,2,-0.886534243236656,3,1,0,0,0,1,0,0,0.641853886172395,-1.3617968895195,-9.21034037197618
"37",1,1,2,0.213465756763344,1,1,0,0,0,0,1,0,2.16916797955369,-0.00551518068811011,-9.21034037197618
"39",1,0,2,-1.18653424323666,5,1,0,0,0,1,0,0,1.06471073699243,-1.03408939265261,-9.21034037197618
"40",1,0,1,0.413465756763344,5,1,0,0,0,0,1,0,-3.50655789731998,-1.66883410470416,-9.21034037197618
